timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129552.9773,peak_good,-60.037,-139.111,141.233,-85.501,-70.6,22.023,74.602,39.449,60.726,86.71
1775129554.5504,peak_good,-60.147,-140.252,141.277,-86.015,-52.107,21.247,76.108,34.834,61.278,90.94
1775129556.1222,peak_good,-59.404,-141.377,140.222,-86.615,-49.169,20.718,74.242,43.786,60.691,93.38
1775129557.6994,peak_good,-58.807,-138.635,140.473,-85.554,-64.418,20.756,74.467,40.521,60.51,93.23
1775129559.354,peak_good,-58.561,-140.521,140.024,-87.021,-30.917,22.696,76.051,41.482,60.545,93.76
1775129560.9274,peak_good,-58.998,-140.745,141.134,-85.964,-47.768,21.382,75.118,44.666,61.938,94.63
1775129562.5054,peak_good,-59.07,-140.815,141.897,-85.366,-39.153,20.923,75.927,47.636,60.44,96.82
1775129564.082,peak_good,-60.013,-142.951,142.458,-85.526,-45.129,21.254,75.625,43.641,60.216,95.83
1775129565.7115,peak_good,-58.692,-139.913,142.158,-85.992,-48.434,22.147,74.261,41.611,60.519,94.71
1775129567.2808,peak_good,-58.359,-141.019,142.198,-86.166,-54.219,20.612,74.972,41.11,60.834,93.89
1775129568.853,peak_good,-58.501,-140.593,142.402,-86.61,-47.372,20.474,74.509,45.0,60.887,93.53
1775129588.7761,too_deep,-50.441,170.215,150.844,-56.953,-44.593,25.345,62.547,-158.001,60.797,91.08
1775129590.3424,too_deep,-47.394,-156.595,151.379,-52.957,-14.963,25.452,60.628,-159.48,62.545,12.65
1775129591.9101,too_deep,-46.509,-158.077,152.127,-50.817,-15.139,24.481,60.292,-158.255,61.695,6.77
1775129593.484,too_deep,-45.111,-158.151,152.048,-51.438,-15.919,24.294,62.31,-167.889,60.581,6.14
1775129595.1353,too_deep,-45.846,-154.679,151.018,-51.602,-10.833,25.751,63.084,-166.555,60.193,19.76
1775129596.7013,too_deep,-47.839,-154.207,142.908,-57.118,-14.76,20.736,65.461,-164.506,60.956,23.83
1775129598.2682,too_deep,-47.782,-153.555,142.372,-55.475,-11.444,20.343,66.78,-170.65,59.012,77.57
1775129599.8448,too_deep,-47.539,-155.056,141.058,-54.834,-10.272,20.082,67.251,-171.89,59.148,119.52
1775129601.4903,too_deep,-47.327,-154.985,141.899,-54.145,-14.303,21.445,65.956,-163.917,59.304,120.09
1775129603.066,too_deep,-47.675,-157.15,142.342,-55.506,-10.547,20.322,64.693,-165.024,59.644,122.47
1775129604.6426,too_deep,-47.976,-155.532,141.701,-53.305,-11.3,20.577,66.081,-164.739,59.416,123.38
1775129606.2084,too_deep,-48.136,-156.496,142.152,-55.681,-10.298,20.626,65.438,-169.757,60.292,120.62
1775129607.8631,too_deep,-46.664,-155.962,143.053,-55.315,-9.788,22.022,66.642,-169.078,61.097,117.88
1775129609.4426,too_deep,-46.932,-155.847,142.793,-53.788,-11.195,20.87,65.022,-169.206,62.464,118.15
1775129611.0075,too_deep,-47.521,-154.758,141.773,-56.391,-10.676,20.67,66.042,-163.383,62.971,117.91
1775129612.5861,too_deep,-47.903,-154.909,142.153,-56.553,-16.176,21.161,67.694,-161.81,63.58,117.14
1775129614.2226,too_deep,-48.229,-152.51,141.07,-57.37,-14.488,21.894,69.048,-169.278,62.682,116.75
